menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:35:08.153684100Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:35:08.163684Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:35:22.733216500Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:35:22.740216700Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:37:37.382312600Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:37:40.283576200Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:38:32.970121700Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:38:45.966847500Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:40:16.178969700Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:40:19.092713900Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:40:44.923635100Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:40:44.943698600Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:22:17.489318Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:22:20.420466600Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:22:20.437466900Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:47:19.060306800Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:47:21.984374500Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:47:21.999355200Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:49:51.313567400Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:49:54.430430Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:49:54.447409600Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:51:16.056986700Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:51:19.121828600Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:51:19.138827500Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:52:47.702190800Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:52:50.614443400Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:52:50.630451700Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:55:17.229685200Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:55:20.235050700Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:55:20.251032700Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:58:10.677284500Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T05:58:13.529846500Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:09:23.581301900Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:09:26.493234Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:14:28.447909200Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:14:28.556046600Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:15:46.629613900Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:15:46.731545900Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:17:08.536996700Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:17:08.634511500Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:27:14.405766900Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:27:14.514392300Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:29:48.454570800Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:29:48.525599300Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:49:59.710532Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:50:12.356852200Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:51:32.697804700Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:51:32.779396700Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:52:03.759379100Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:52:16.511308800Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:56:21.979496100Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:56:24.993125Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:57:01.324779300Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:57:04.359011400Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:58:14.552138500Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:58:14.620682900Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:59:03.917405800Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:59:06.839467Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:59:31.841672500Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T06:59:44.635342Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T07:01:23.140221500Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T07:01:23.219768500Z
menu_URL : http://localhost:8080/user, user_id : 유저, log_content : , created_by : SYSTEM, created_at : 2023-12-14T07:04:23.492690800Z
